date,facility_id,facility_type,lab_tests,ed_arrivals,opd_visits,admissions,discharges,beds_occupied,beds_total,ambulance_calls,is_holiday
2026-08-01,GMC-AHM-001,District Hospital,1820,312,1540,78,65,410,500,41,False
2026-08-02,GMC-AHM-001,District Hospital,1905,298,1612,82,71,417,500,39,False
2026-08-03,GMC-AHM-001,District Hospital,1640,260,980,55,52,388,500,28,True
2026-08-04,GMC-AHM-001,District Hospital,1780,290,1410,70,68,392,500,35,False
2026-08-05,GMC-AHM-001,District Hospital,1950,320,1680,85,75,420,500,44,False
2026-08-06,GMC-AHM-001,District Hospital,2010,355,1750,92,80,432,500,48,False
2026-08-07,GMC-AHM-001,District Hospital,1880,330,1600,80,72,425,500,42,False
2026-08-08,GMC-AHM-001,District Hospital,1750,300,1500,76,70,418,500,40,False
2026-08-09,GMC-AHM-001,District Hospital,1820,310,1555,79,73,420,500,41,False
2026-08-10,GMC-AHM-001,District Hospital,1610,255,950,52,50,386,500,30,True
2026-08-11,GMC-AHM-001,District Hospital,1790,295,1430,72,68,395,500,37,False
2026-08-12,GMC-AHM-001,District Hospital,1960,325,1670,86,77,422,500,45,False
2026-08-13,GMC-AHM-001,District Hospital,2030,360,1770,93,82,434,500,50,False
2026-08-14,GMC-AHM-001,District Hospital,1890,335,1620,82,74,427,500,43,False
2026-08-15,GMC-AHM-001,District Hospital,1780,308,1520,77,72,419,500,41,False
2026-08-16,GMC-AHM-001,District Hospital,1840,318,1570,80,75,421,500,42,False
2026-08-17,GMC-AHM-001,District Hospital,1640,262,975,55,53,388,500,29,True
2026-08-18,GMC-AHM-001,District Hospital,1810,302,1450,73,69,397,500,38,False
2026-08-19,GMC-AHM-001,District Hospital,1980,328,1690,87,78,425,500,46,False
2026-08-20,GMC-AHM-001,District Hospital,2055,365,1790,95,83,438,500,52,False
2026-08-21,GMC-AHM-001,District Hospital,1910,340,1640,84,76,430,500,44,False
2026-08-22,GMC-AHM-001,District Hospital,1800,312,1530,78,74,420,500,41,False
2026-08-23,GMC-AHM-001,District Hospital,1850,320,1580,81,76,422,500,42,False
2026-08-24,GMC-AHM-001,District Hospital,1660,270,990,56,54,390,500,30,True
2026-08-25,GMC-AHM-001,District Hospital,1830,305,1460,74,70,400,500,38,False
2026-08-26,GMC-AHM-001,District Hospital,2000,332,1710,88,80,427,500,47,False
2026-08-27,GMC-AHM-001,District Hospital,2080,372,1820,96,85,442,500,53,False
2026-08-28,GMC-AHM-001,District Hospital,1930,345,1660,85,77,432,500,45,False
